,Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?
0,9812,Jessore,2000,9,35.2,25.2,467.0,87.0,1.4,5.7,6.1,41936,420062.7,562498.8,23.17,89.22,7,2000.09,1
1,1711,Bogra,1977,8,37.8,26.7,173.0,86.0,1.7,5.2,6.4,41883,435303.7,751187.5,24.88,89.36,20,1977.08,0
2,4403,Cox's Bazar,1950,12,30.6,14.5,0.0,72.0,1.614814815,0.8,8.558490566,41992,705183.0,374324.6,21.46,91.98,4,1950.12,0
3,15270,Rangamati,1973,7,34.2,25.6,608.0,83.0,1.9,5.4,3.748148148,41966,725903.3,508021.9,22.67,92.2,63,1973.07,1
4,1391,Bogra,1950,12,28.1,13.3,0.0,73.0,0.685185185,0.9,7.596226415,41883,435303.7,751187.5,24.88,89.36,20,1950.12,0
5,10448,Khepupara,2013,9,35.0,25.8,536.0,88.0,2.6,5.4,4.6,41984,522893.1,430006.8,21.98,90.22,3,2013.09,1
6,3668,Comilla,1955,9,32.4,25.2,246.0,86.0,1.537037037,4.8,5.548484848,41933,621445.2,596963.4,23.48,91.19,10,1955.09,0
7,16830,Sandwip,1995,7,32.1,26.5,620.0,91.0,3.2,5.8,4.8,41964,650012.1,488627.9,22.5,91.46,6,1995.07,1
8,15251,Rangamati,1971,12,29.3,17.5,1.0,77.0,1.1,3.1,7.448148148,41966,725903.3,508021.9,22.67,92.2,63,1971.12,0
9,15432,Rangamati,1987,1,29.0,13.5,3.0,76.0,0.7,1.1,3.8,41966,725903.3,508021.9,22.67,92.2,63,1987.01,0
10,4259,Comilla,2004,12,30.2,14.5,0.0,78.0,0.5,1.1,7.8,41933,621445.2,596963.4,23.48,91.19,10,2004.12,0
11,8660,Ishurdi,1970,9,34.4,25.7,261.0,84.0,3.7,6.4,5.220689655,41907,402483.2,667640.8,24.12,89.04,14,1970.09,0
12,11496,Kutubdia,1998,1,29.0,15.6,15.0,82.0,1.3,1.2,7.8,41989,690250.3,414997.4,21.83,91.84,6,1998.01,0
13,17925,Sitakunda,1983,10,34.0,23.1,672.0,82.0,0.9,3.8,5.3,41965,668856.2,504500.3,22.64,91.64,4,1983.1,1
14,16401,Rangpur,2007,10,35.5,23.4,138.0,83.0,0.7,3.1,6.8,41859,426172.9,844822.3,25.72,89.26,34,2007.1,0
15,6044,Dinajpur,1960,9,35.6,24.3,370.0,87.0,0.1,5.1,5.184,41863,365790.2,834718.0,25.63,88.66,37,1960.09,1
16,8487,Hatiya,2009,4,35.8,24.8,103.0,82.0,4.0,3.6,8.2,41963,616159.2,465295.1,22.29,91.13,4,2009.04,0
17,9131,Ishurdi,2009,12,28.5,11.6,0.0,79.0,2.2,0.6,5.2,41907,402483.2,667640.8,24.12,89.04,14,2009.12,0
18,1818,Bogra,1986,7,33.8,25.4,446.0,89.0,1.2,5.8,3.9,41883,435303.7,751187.5,24.88,89.36,20,1986.07,1
19,1334,Bhola,2012,3,35.2,21.8,8.0,78.0,1.9,1.7,7.7,41951,567637.6,510271.8,22.7,90.66,5,2012.03,0
20,15369,Rangamati,1981,10,32.1,24.8,42.0,83.0,1.2,3.6,6.596296296,41966,725903.3,508021.9,22.67,92.2,63,1981.1,0
21,15211,Rangamati,1968,8,35.6,25.6,363.0,86.0,1.4,5.9,4.744444444,41966,725903.3,508021.9,22.67,92.2,63,1968.08,0
22,3739,Comilla,1961,8,33.9,25.5,577.0,87.0,3.7,6.0,5.233333333,41933,621445.2,596963.4,23.48,91.19,10,1961.08,1
23,11740,Madaripur,1981,5,35.0,23.5,294.0,78.0,0.8,4.8,5.953846154,41939,518762.7,561770.3,23.17,90.18,5,1981.05,0
24,11476,Kutubdia,1996,5,35.2,25.3,192.0,81.0,2.7,4.2,7.3,41989,690250.3,414997.4,21.83,91.84,6,1996.05,0
25,6612,Dinajpur,2008,1,27.0,11.8,33.0,80.0,0.7,2.0,4.8,41863,365790.2,834718.0,25.63,88.66,37,2008.01,0
26,11063,Khulna,1998,12,30.0,15.0,0.0,79.0,0.6,0.2,9.1,41947,456632.4,521635.7,22.8,89.58,4,1998.12,0
27,7511,Feni,1975,12,28.1,13.7,0.0,72.0,0.2,0.5,7.203448276,41943,640285.9,544954.5,23.01,91.37,8,1975.12,0
28,6716,Faridpur,1950,9,32.4,26.3,161.0,84.0,1.375925926,5.9,5.14137931,41929,483877.3,610719.3,23.61,89.84,9,1950.09,0
29,15917,Rangpur,1967,6,37.4,25.0,248.0,79.0,1.3,4.2,4.894285714,41859,426172.9,844822.3,25.72,89.26,34,1967.06,0
30,19898,Tangail,1997,3,34.6,19.3,20.0,72.0,1.0,2.3,7.4,41909,491982.91,683166.0,24.15,89.55,10,1997.03,0
31,12640,Maijdee Court,1993,5,34.0,24.3,481.0,83.0,1.5,5.1,5.2,41953,610851.8,524433.6,22.83,91.08,6,1993.05,1
32,18160,Sitakunda,2003,5,36.4,25.1,268.0,83.0,1.1,4.0,5.3,41965,668856.2,504500.3,22.64,91.64,4,2003.05,0
33,6749,Faridpur,1953,6,35.6,24.7,591.0,87.0,1.833333333,6.6,5.0,41929,483877.3,610719.3,23.61,89.84,9,1953.06,1
34,2571,Chandpur,1999,4,35.5,25.4,21.0,76.0,0.9,2.1,8.0,41941,568556.9,571945.8,23.26,90.67,7,1999.04,0
35,17721,Satkhira,2003,10,34.4,24.9,420.0,88.0,0.2,4.3,4.6,41946,404211.7,508367.2,22.68,89.07,6,2003.1,1
36,10914,Khulna,1986,7,35.5,25.5,390.0,89.0,1.6,6.1,3.7,41947,456632.4,521635.7,22.8,89.58,4,1986.07,1
37,6129,Dinajpur,1967,10,32.8,23.6,105.0,82.0,0.3,0.8,6.916,41863,365790.2,834718.0,25.63,88.66,37,1967.1,0
38,18726,Srimangal,1984,7,35.0,25.6,204.0,85.0,0.9,0.0,4.325,41915,675761.6,687095.9,24.29,91.73,23,1984.07,0
39,7503,Feni,1975,4,37.6,24.2,49.0,71.0,2.8,2.9,7.451724138,41943,640285.9,544954.5,23.01,91.37,8,1975.04,0
40,138,Barisal,1960,7,32.8,25.5,716.0,89.0,0.4,6.0,3.738297872,41950,536809.8,510151.9,22.7,90.36,4,1960.07,1
41,16591,Sandwip,1975,8,30.7,25.5,673.0,89.0,2.4,5.5,4.962962963,41964,650012.1,488627.9,22.5,91.46,6,1975.08,1
42,3414,Chittagong (IAP-Patenga),2000,7,34.0,25.3,701.0,87.0,3.6,6.2,4.2,41978,684570.9,471415.0,22.34,91.79,6,2000.07,1
43,5915,Dinajpur,1949,12,28.1,8.9,0.0,76.0,0.459259259,0.1,6.392,41863,365790.2,834718.0,25.63,88.66,37,1949.12,0
44,18486,Srimangal,1964,7,35.3,24.7,455.0,88.0,0.6,5.8,4.325,41915,675761.6,687095.9,24.29,91.73,23,1964.07,0
